"Waveform Data"
"Item","V1","A1","V2","A2","V3","A3"
1,-293.21E+0,193.22E-3,1.7118E+3,-1.2350E+0,241.70E+0,1.0917E+0
2,-305.54E+0,143.56E-3,1.7118E+3,-1.2688E+0,225.24E+0,1.0741E+0
3,-307.14E+0,235.79E-3,1.7118E+3,-1.2773E+0,220.73E+0,1.0758E+0
4,-316.70E+0,206.57E-3,1.7118E+3,-1.3004E+0,206.79E+0,1.0615E+0
5,-318.86E+0,271.26E-3,1.7118E+3,-1.3070E+0,203.22E+0,1.0568E+0
6,-326.26E+0,248.51E-3,1.7118E+3,-1.3132E+0,188.29E+0,1.0394E+0
7,-327.86E+0,298.38E-3,1.7118E+3,-1.3070E+0,185.02E+0,1.0359E+0
8,-334.15E+0,277.52E-3,1.7118E+3,-1.3165E+0,170.65E+0,1.0130E+0
9,-335.63E+0,329.06E-3,1.7118E+3,-1.3010E+0,167.94E+0,1.0049E+0
10,-341.48E+0,304.44E-3,1.7118E+3,-1.3053E+0,154.62E+0,971.65E-3
11,-342.16E+0,369.33E-3,1.7118E+3,-1.3014E+0,151.84E+0,967.93E-3
12,-347.83E+0,334.69E-3,1.7118E+3,-1.3047E+0,139.57E+0,935.70E-3
13,-348.45E+0,442.99E-3,1.7118E+3,-1.3060E+0,136.36E+0,931.98E-3
14,-355.23E+0,386.65E-3,1.7118E+3,-1.3334E+0,121.75E+0,891.69E-3
15,-355.97E+0,494.73E-3,1.7118E+3,-1.3369E+0,119.53E+0,881.57E-3
16,-362.01E+0,454.46E-3,1.7118E+3,-1.3502E+0,107.25E+0,854.71E-3
17,-363.25E+0,542.93E-3,1.7118E+3,-1.3537E+0,104.17E+0,847.89E-3
18,-369.16E+0,509.97E-3,1.7118E+3,-1.3676E+0,92.573E+0,822.48E-3
19,-370.52E+0,573.19E-3,1.7118E+3,-1.3670E+0,89.551E+0,818.14E-3
20,-378.10E+0,551.28E-3,1.7118E+3,-1.3724E+0,78.142E+0,795.42E-3
21,-378.54E+0,578.82E-3,1.7118E+3,-1.3612E+0,74.503E+0,793.35E-3
22,-387.41E+0,571.73E-3,1.7118E+3,-1.3672E+0,62.045E+0,781.78E-3
23,-390.19E+0,583.00E-3,1.7118E+3,-1.3383E+0,58.961E+0,777.65E-3
24,-398.14E+0,579.87E-3,1.7118E+3,-1.3583E+0,46.318E+0,756.37E-3
25,-400.79E+0,582.37E-3,1.7118E+3,-1.3153E+0,42.925E+0,755.54E-3
26,-408.62E+0,575.69E-3,1.7118E+3,-1.3352E+0,30.467E+0,740.46E-3
27,-411.21E+0,595.72E-3,1.7118E+3,-1.2927E+0,26.952E+0,734.26E-3
28,-421.44E+0,577.99E-3,1.7118E+3,-1.3126E+0,10.485E+0,697.49E-3
29,-424.65E+0,617.84E-3,1.7118E+3,-1.2813E+0,7.6476E+0,690.26E-3
30,-432.67E+0,594.68E-3,1.7118E+3,-1.2906E+0,-4.5022E+0,665.88E-3
31,-434.76E+0,656.03E-3,1.7118E+3,-1.2802E+0,-7.6476E+0,658.23E-3
32,-442.53E+0,621.60E-3,1.7118E+3,-1.2831E+0,-20.106E+0,627.04E-3
33,-444.63E+0,706.73E-3,1.7118E+3,-1.2852E+0,-23.313E+0,619.60E-3
